species,order,family,mass_g,mass_kg,gestation_days,source
Georychus capensis,Rodentia,Bathyergidae,188.36,0.18836,43.74,PanTHERIA_WR05
Gerbilliscus afra,Rodentia,Muridae,92.13,0.09213,23.3,PanTHERIA_WR05
Gerbilliscus brantsii,Rodentia,Muridae,89.41,0.08941,22.64,PanTHERIA_WR05
Gerbilliscus inclusus,Rodentia,Muridae,118.5,0.1185,23.15,PanTHERIA_WR05
Gerbilliscus kempi,Rodentia,Muridae,100.83,0.10083,25.33,PanTHERIA_WR05
Gerbilliscus leucogaster,Rodentia,Muridae,73.75,0.07375,28.37,PanTHERIA_WR05
Gerbilliscus validus,Rodentia,Muridae,121,0.121,25,PanTHERIA_WR05
Gerbillurus paeba,Rodentia,Muridae,25.91,0.02591,26,PanTHERIA_WR05
Eschrichtius robustus,Cetacea,Eschrichtiidae,27324024,27324.024,379.9,PanTHERIA_WR05
Eubalaena australis,Cetacea,Balaenidae,23000000,23000,361.98,PanTHERIA_WR05
Eubalaena glacialis,Cetacea,Balaenidae,23000000,23000,345.96,PanTHERIA_WR05
Eudorcas rufifrons,Artiodactyla,Bovidae,26999.77,26.99977,174.73,PanTHERIA_WR05
Felis catus,Carnivora,Felidae,2884.8,2.8848,62.99,PanTHERIA_WR05
Felis chaus,Carnivora,Felidae,7157.99,7.15799,62.88,PanTHERIA_WR05
Felis manul,Carnivora,Felidae,3050,3.05,76.08,PanTHERIA_WR05
Felis margarita,Carnivora,Felidae,2823.36,2.82336,63.61,PanTHERIA_WR05
Felis nigripes,Carnivora,Felidae,1362.77,1.36277,67.5,PanTHERIA_WR05
Gulo gulo,Carnivora,Mustelidae,12792.49,12.79249,161.73,PanTHERIA_WR05
Gymnobelideus leadbeateri,Diprotodontia,Petauridae,137.32,0.13732,18.43,PanTHERIA_WR05
Halichoerus grypus,Carnivora,Phocidae,197570.01,197.57001,349.79,PanTHERIA_WR05
Hapalemur aureus,Primates,Lemuridae,1562.41,1.56241,142.5,PanTHERIA_WR05
Hapalemur griseus,Primates,Lemuridae,916,0.916,141.24,PanTHERIA_WR05
Haplonycteris fischeri,Chiroptera,Pteropodidae,18.25,0.01825,174.73,PanTHERIA_WR05
Harpyionycteris whiteheadi,Chiroptera,Pteropodidae,135.48,0.13548,132.74,PanTHERIA_WR05
Helarctos malayanus,Carnivora,Ursidae,57075.78,57.07578,98.34,PanTHERIA_WR05
Heliophobius argenteocinereus,Rodentia,Bathyergidae,159.46,0.15946,87,PanTHERIA_WR05
Herpestes ichneumon,Carnivora,Herpestidae,2980.02,2.98002,75.87,PanTHERIA_WR05
Herpestes javanicus,Carnivora,Herpestidae,750,0.75,48.48,PanTHERIA_WR05
Herpestes urva,Carnivora,Herpestidae,2384.19,2.38419,65.7,PanTHERIA_WR05
Felis silvestris,Carnivora,Felidae,4573.08,4.57308,65.49,PanTHERIA_WR05
Fossa fossana,Carnivora,Eupleridae,1853.98,1.85398,88.38,PanTHERIA_WR05
Funambulus palmarum,Rodentia,Sciuridae,136.4,0.1364,34,PanTHERIA_WR05
Funambulus pennantii,Rodentia,Sciuridae,102.49,0.10249,41.77,PanTHERIA_WR05
Funisciurus congicus,Rodentia,Sciuridae,112,0.112,54.23,PanTHERIA_WR05
Galago alleni,Primates,Galagidae,266.03,0.26603,133,PanTHERIA_WR05
Galago demidoff,Primates,Galagidae,66.04,0.06604,111,PanTHERIA_WR05
Galago moholi,Primates,Galagidae,191.96,0.19196,122.29,PanTHERIA_WR05
Galago senegalensis,Primates,Galagidae,215.2,0.2152,126.98,PanTHERIA_WR05
Gerbillus nanus,Rodentia,Muridae,25.5,0.0255,20.97,PanTHERIA_WR05
Gerbillus perpallidus,Rodentia,Muridae,52.22,0.05222,20.22,PanTHERIA_WR05
Gerbillus pyramidum,Rodentia,Muridae,42.8,0.0428,22.14,PanTHERIA_WR05
Giraffa camelopardalis,Artiodactyla,Giraffidae,964654.73,964.65473,455.25,PanTHERIA_WR05
Glaucomys sabrinus,Rodentia,Sciuridae,137.53,0.13753,40,PanTHERIA_WR05
Glaucomys volans,Rodentia,Sciuridae,71.9,0.0719,39.49,PanTHERIA_WR05
Glis glis,Rodentia,Gliridae,128.09,0.12809,28.19,PanTHERIA_WR05
Globicephala macrorhynchus,Cetacea,Delphinidae,725999.99,725.99999,452,PanTHERIA_WR05
Globicephala melas,Cetacea,Delphinidae,800000,800,479.06,PanTHERIA_WR05
Glossophaga soricina,Chiroptera,Phyllostomidae,9.97,0.00997,107.97,PanTHERIA_WR05
Gorilla gorilla,Primates,Hominidae,112588.99,112.58899,257,PanTHERIA_WR05
Grammomys poensis,Rodentia,Muridae,50.03,0.05003,24.65,PanTHERIA_WR05
Grampus griseus,Cetacea,Delphinidae,387500,387.5,365,PanTHERIA_WR05
Graphiurus murinus,Rodentia,Gliridae,20.07,0.02007,23.99,PanTHERIA_WR05
Grammomys dolichurus,Rodentia,Muridae,41.85,0.04185,23.99,PanTHERIA_WR05
Jaculus jaculus,Rodentia,Dipodidae,59.8,0.0598,33.54,PanTHERIA_WR05
Jaculus orientalis,Rodentia,Dipodidae,138.26,0.13826,40,PanTHERIA_WR05
Helogale parvula,Carnivora,Herpestidae,281.83,0.28183,54.08,PanTHERIA_WR05
Hemicentetes nigriceps,Afrosoricida,Tenrecidae,102.99,0.10299,55.32,PanTHERIA_WR05
Hemicentetes semispinosus,Afrosoricida,Tenrecidae,134,0.134,53.07,PanTHERIA_WR05
Hemiechinus auritus,Erinaceomorpha,Erinaceidae,322.04,0.32204,37.18,PanTHERIA_WR05
Hemitragus hylocrius,Artiodactyla,Bovidae,74186.41,74.18641,186.35,PanTHERIA_WR05
Hemitragus jayakari,Artiodactyla,Bovidae,22210.18,22.21018,164.31,PanTHERIA_WR05
Hemitragus jemlahicus,Artiodactyla,Bovidae,68616.43,68.61643,195.76,PanTHERIA_WR05
Herpestes edwardsi,Carnivora,Herpestidae,1304.67,1.30467,63.09,PanTHERIA_WR05
Hexaprotodon liberiensis,Artiodactyla,Hippopotamidae,235001.16,235.00116,200,PanTHERIA_WR05
