species,class,order,family,mass_kg,specific_mr,specific_mr_units,source
Pterohelaeus sp.,Insecta,Coleoptera,Tenebrionidae,0.00025,1.1785113,W/kg,AnimalTraits
Cerotalis sp.,Insecta,Coleoptera,Carabidae,0.000607,0.7442548,W/kg,AnimalTraits
Cerotalis sp.,Insecta,Coleoptera,Carabidae,0.000562,0.84025306,W/kg,AnimalTraits
Cerotalis sp.,Insecta,Coleoptera,Carabidae,0.000552,0.62270374,W/kg,AnimalTraits
Cerotalis sp.,Insecta,Coleoptera,Carabidae,0.00056,0.50843254,W/kg,AnimalTraits
Cerotalis sp.,Insecta,Coleoptera,Carabidae,0.000558,0.51480668,W/kg,AnimalTraits
Carenum sp.,Insecta,Coleoptera,Carabidae,0.00461,0.57732567,W/kg,AnimalTraits
Carenum sp.,Insecta,Coleoptera,Carabidae,0.00424,0.56996855,W/kg,AnimalTraits
Carenum sp.,Insecta,Coleoptera,Carabidae,0.00439,0.5704639,W/kg,AnimalTraits
Carenum sp.,Insecta,Coleoptera,Carabidae,0.00343,0.59928733,W/kg,AnimalTraits
Callipepla californica,Aves,Galliformes,Odontophoridae,0.1496,5.3333333,W/kg,AnimalTraits
Callipepla californica,Aves,Galliformes,Odontophoridae,0.1274,5.8333333,W/kg,AnimalTraits
Ostrinia nubilalis,Insecta,Lepidoptera,Crambidae,4e-05,10.172311,W/kg,AnimalTraits
Ostrinia nubilalis,Insecta,Lepidoptera,Crambidae,6.65e-05,10.567352,W/kg,AnimalTraits
Ostrinia nubilalis,Insecta,Lepidoptera,Crambidae,3.36e-05,10.122931,W/kg,AnimalTraits
Ostrinia nubilalis,Insecta,Lepidoptera,Crambidae,6.22e-05,8.6909062,W/kg,AnimalTraits
Ostrinia nubilalis,Insecta,Lepidoptera,Crambidae,3.28e-05,7.2095017,W/kg,AnimalTraits
Ostrinia nubilalis,Insecta,Lepidoptera,Crambidae,5.65e-05,5.974998,W/kg,AnimalTraits
Periplaneta americana,Insecta,Blattodea,Blattidae,0.00073,2.8888889,W/kg,AnimalTraits
Blaberus discoidalis,Insecta,Blattodea,Blaberidae,0.00408,0.94444444,W/kg,AnimalTraits
Gromphadorhina chopardi,Insecta,Blattodea,Blaberidae,0.0034,0.77777778,W/kg,AnimalTraits
Eublaberus posticus,Insecta,Blattodea,Blaberidae,0.0022,1.8888889,W/kg,AnimalTraits
Byrsotria fumagata,Insecta,Blattodea,Blaberidae,0.00495,1.1111111,W/kg,AnimalTraits
Camponotus herculeanus,Insecta,Hymenoptera,Formicidae,7.48e-06,14.944444,W/kg,AnimalTraits
Camponotus herculeanus,Insecta,Hymenoptera,Formicidae,1.042e-05,22.833333,W/kg,AnimalTraits
Formica fusca,Insecta,Hymenoptera,Formicidae,1.46e-06,14.722222,W/kg,AnimalTraits
Formica fusca,Insecta,Hymenoptera,Formicidae,1.23e-06,31.111111,W/kg,AnimalTraits
Myrmica alaskensis,Insecta,Hymenoptera,Formicidae,1.15e-06,9.5,W/kg,AnimalTraits
Myrmica alaskensis,Insecta,Hymenoptera,Formicidae,6.7e-07,13.555556,W/kg,AnimalTraits
Leptothorax acerovorum,Insecta,Hymenoptera,Formicidae,3.7e-07,13.611111,W/kg,AnimalTraits
Pogonomymex maricopa,Insecta,Hymenoptera,Formicidae,3.78e-06,9.3333333,W/kg,AnimalTraits
Aphaenogaster cockerelli,Insecta,Hymenoptera,Formicidae,4.72e-06,17.222222,W/kg,AnimalTraits
Camponotus vafer,Insecta,Hymenoptera,Formicidae,4.51e-06,12.833333,W/kg,AnimalTraits
Forelius foetidus,Insecta,Hymenoptera,Formicidae,1e-07,13.222222,W/kg,AnimalTraits
Camponotus sp.,Insecta,Hymenoptera,Formicidae,1.541e-05,5,W/kg,AnimalTraits
Camponotus laevigatus,Insecta,Hymenoptera,Formicidae,1.915e-05,6.0555556,W/kg,AnimalTraits
Formica occulta,Insecta,Hymenoptera,Formicidae,1.3e-06,14.777778,W/kg,AnimalTraits
