species,class,order,family,mass_g,mass_kg,max_longevity_years,source
Corallus hortulanus,Reptilia,Squamata,Boidae,1906,1.906,15,AnAge
Epicrates cenchria,Reptilia,Squamata,Boidae,1306,1.306,31,AnAge
Eunectes murinus,Reptilia,Squamata,Boidae,97500,97.5,31.8,AnAge
Candoia aspera,Reptilia,Squamata,Candoiidae,384,0.384,9.9,AnAge
Candoia carinata,Reptilia,Squamata,Candoiidae,384,0.384,16.6,AnAge
Underwoodisaurus milii,Reptilia,Squamata,Carphodactylidae,9.6,0.0096,12,AnAge
Chamaeleo chamaeleon,Reptilia,Squamata,Chamaeleonidae,36.49,0.03649,3.6,AnAge
Chamaeleo dilepis,Reptilia,Squamata,Chamaeleonidae,22.31,0.02231,4,AnAge
Furcifer labordi,Reptilia,Squamata,Chamaeleonidae,8.73,0.00873,1.3,AnAge
Trioceros jacksonii,Reptilia,Squamata,Chamaeleonidae,32.565,0.032565,8.2,AnAge
Charina bottae,Reptilia,Squamata,Charinidae,219,0.219,26.5,AnAge
Lichanura trivirgata,Reptilia,Squamata,Charinidae,450,0.45,31,AnAge
Arizona elegans,Reptilia,Squamata,Colubridae,2189,2.189,19.1,AnAge
Bogertophis subocularis,Reptilia,Squamata,Colubridae,1839,1.839,23.8,AnAge
Boiga cynodon,Reptilia,Squamata,Colubridae,8324,8.324,9.6,AnAge
Boiga dendrophila,Reptilia,Squamata,Colubridae,6107,6.107,17,AnAge
Boiga irregularis,Reptilia,Squamata,Colubridae,4748,4.748,13.1,AnAge
Cemophora coccinea,Reptilia,Squamata,Colubridae,219,0.219,10.4,AnAge
Chilomeniscus stramineus,Reptilia,Squamata,Colubridae,6,0.006,4,AnAge
Clelia clelia,Reptilia,Squamata,Colubridae,1587,1.587,11.5,AnAge
Clonophis kirtlandii,Reptilia,Squamata,Colubridae,91,0.091,8.4,AnAge
Coluber constrictor,Reptilia,Squamata,Colubridae,1594.5,1.5945,10,AnAge
Dasypeltis medici,Reptilia,Squamata,Colubridae,72.25,0.07225,8.6,AnAge
Dasypeltis scabra,Reptilia,Squamata,Colubridae,72.25,0.07225,22.1,AnAge
Dispholidus typus,Reptilia,Squamata,Colubridae,3765,3.765,8.7,AnAge
Drymarchon corais,Reptilia,Squamata,Colubridae,7118,7.118,25.9,AnAge
Elaphe guttata,Reptilia,Squamata,Colubridae,900,0.9,32.3,AnAge
Elaphe quadrivirgata,Reptilia,Squamata,Colubridae,6561,6.561,16.8,AnAge
Elaphe vulpina,Reptilia,Squamata,Colubridae,2227,2.227,17,AnAge
Farancia abacura,Reptilia,Squamata,Colubridae,3454,3.454,19,AnAge
Gonyosoma oxycephalum,Reptilia,Squamata,Colubridae,5399,5.399,15.1,AnAge
Heterodon nasicus,Reptilia,Squamata,Colubridae,350,0.35,19.8,AnAge
Heterodon platirhinos,Reptilia,Squamata,Colubridae,601,0.601,9.1,AnAge
Hypsiglena torquata,Reptilia,Squamata,Colubridae,104,0.104,12.2,AnAge
Lampropeltis alterna,Reptilia,Squamata,Colubridae,1228,1.228,19.7,AnAge
Lampropeltis calligaster,Reptilia,Squamata,Colubridae,1130,1.13,23.8,AnAge
Lampropeltis getula,Reptilia,Squamata,Colubridae,2041,2.041,33.3,AnAge
Lampropeltis pyromelana,Reptilia,Squamata,Colubridae,432,0.432,22.4,AnAge
Lampropeltis triangulum,Reptilia,Squamata,Colubridae,950,0.95,22.6,AnAge
Lampropeltis zonata,Reptilia,Squamata,Colubridae,407,0.407,28.8,AnAge
Macroprotodon cucullatus,Reptilia,Squamata,Colubridae,104,0.104,5.9,AnAge
Masticophis flagellum,Reptilia,Squamata,Colubridae,6484,6.484,20.2,AnAge
Natrix natrix,Reptilia,Squamata,Colubridae,94.2,0.0942,20,AnAge
Nerodia erythrogaster,Reptilia,Squamata,Colubridae,1499,1.499,14.8,AnAge
Nerodia sipedon,Reptilia,Squamata,Colubridae,1306,1.306,9.6,AnAge
Nerodia taxispilota,Reptilia,Squamata,Colubridae,2153,2.153,6.1,AnAge
Opheodrys aestivus,Reptilia,Squamata,Colubridae,601,0.601,7.2,AnAge
Opheodrys vernalis,Reptilia,Squamata,Colubridae,104,0.104,6.1,AnAge
Oxybelis aeneus,Reptilia,Squamata,Colubridae,1359,1.359,15.2,AnAge
Pituophis catenifer,Reptilia,Squamata,Colubridae,7275.5,7.2755,33.8,AnAge
Pituophis melanoleucus,Reptilia,Squamata,Colubridae,6407,6.407,22.4,AnAge
Regina septemvittata,Reptilia,Squamata,Colubridae,298,0.298,19.3,AnAge
Rhinocheilus lecontei,Reptilia,Squamata,Colubridae,432,0.432,19.8,AnAge
Salvadora hexalepis,Reptilia,Squamata,Colubridae,585,0.585,14.3,AnAge
Senticolis triaspis,Reptilia,Squamata,Colubridae,753,0.753,19.8,AnAge
Spilotes pullatus,Reptilia,Squamata,Colubridae,3983,3.983,17.5,AnAge
Storeria dekayi,Reptilia,Squamata,Colubridae,45,0.045,7,AnAge
Storeria occipitomaculata,Reptilia,Squamata,Colubridae,26,0.026,4.6,AnAge
Thamnophis butleri,Reptilia,Squamata,Colubridae,125,0.125,14,AnAge
Thamnophis couchii,Reptilia,Squamata,Colubridae,958,0.958,7.7,AnAge
Thamnophis cyrtopsis,Reptilia,Squamata,Colubridae,441,0.441,10.8,AnAge
Thamnophis elegans,Reptilia,Squamata,Colubridae,400,0.4,17.8,AnAge
Thamnophis marcianus,Reptilia,Squamata,Colubridae,434,0.434,7,AnAge
Thamnophis ordinoides,Reptilia,Squamata,Colubridae,329,0.329,15.8,AnAge
Thamnophis radix,Reptilia,Squamata,Colubridae,512,0.512,8.4,AnAge
Thamnophis sauritus,Reptilia,Squamata,Colubridae,407,0.407,10.6,AnAge
Thamnophis sirtalis,Reptilia,Squamata,Colubridae,150,0.15,14,AnAge
Trimorphodon biscutatus,Reptilia,Squamata,Colubridae,682,0.682,11.8,AnAge
Virginia striatula,Reptilia,Squamata,Colubridae,12,0.012,7.2,AnAge
Virginia valeriae,Reptilia,Squamata,Colubridae,22,0.022,9.5,AnAge
Cordylus cordylus,Reptilia,Squamata,Cordylidae,17.3,0.0173,15.6,AnAge
Gerrhosaurus major,Reptilia,Squamata,Cordylidae,284,0.284,24,AnAge
Platysaurus guttatus,Reptilia,Squamata,Cordylidae,12.2,0.0122,15.6,AnAge
Basiliscus plumifrons,Reptilia,Squamata,Corytophanidae,66.2,0.0662,13,AnAge
Basiliscus vittatus,Reptilia,Squamata,Corytophanidae,60.87,0.06087,9.1,AnAge
Corytophanes cristatus,Reptilia,Squamata,Corytophanidae,43.4,0.0434,7.1,AnAge
Anolis carolinensis,Reptilia,Squamata,Dactyloidae,2.455,0.002455,7.2,AnAge
Anolis cuvieri,Reptilia,Squamata,Dactyloidae,46.6,0.0466,9.2,AnAge
Anolis equestris,Reptilia,Squamata,Dactyloidae,56,0.056,16.5,AnAge
Anolis roquet,Reptilia,Squamata,Dactyloidae,2.415,0.002415,6.7,AnAge
Dactylocnemis pacificus,Reptilia,Squamata,Diplodactylidae,19.6,0.0196,13,AnAge
Hoplodactylus duvaucelii,Reptilia,Squamata,Diplodactylidae,118,0.118,25,AnAge
Naultinus gemmeus,Reptilia,Squamata,Diplodactylidae,6.63,0.00663,16,AnAge
Oedura marmorata,Reptilia,Squamata,Diplodactylidae,15.4,0.0154,21.2,AnAge
Woodworthia maculatus,Reptilia,Squamata,Diplodactylidae,6.83,0.00683,37,AnAge
Acanthophis antarcticus,Reptilia,Squamata,Elapidae,384,0.384,9.3,AnAge
Bungarus caeruleus,Reptilia,Squamata,Elapidae,1154,1.154,17.4,AnAge
Bungarus fasciatus,Reptilia,Squamata,Elapidae,3113,3.113,13.2,AnAge
Bungarus multicinctus,Reptilia,Squamata,Elapidae,1154,1.154,13.7,AnAge
Dendroaspis jamesoni,Reptilia,Squamata,Elapidae,19310,19.31,13.1,AnAge
Dendroaspis polylepis,Reptilia,Squamata,Elapidae,30758,30.758,26.2,AnAge
Micruroides euryxanthus,Reptilia,Squamata,Elapidae,56,0.056,17.6,AnAge
Micrurus fulvius,Reptilia,Squamata,Elapidae,682,0.682,19,AnAge
Naja atra,Reptilia,Squamata,Elapidae,1849,1.849,11.7,AnAge
Naja haje,Reptilia,Squamata,Elapidae,6796,6.796,22.1,AnAge
Naja kaouthia,Reptilia,Squamata,Elapidae,3113,3.113,25.4,AnAge
Naja melanoleuca,Reptilia,Squamata,Elapidae,6957,6.957,29.1,AnAge
Naja mossambica,Reptilia,Squamata,Elapidae,8787,8.787,16.7,AnAge
Naja nigricollis,Reptilia,Squamata,Elapidae,8787,8.787,23.2,AnAge
Naja pallida,Reptilia,Squamata,Elapidae,8787,8.787,20.2,AnAge
Naja sputatrix,Reptilia,Squamata,Elapidae,3113,3.113,13.5,AnAge
Ophiophagus hannah,Reptilia,Squamata,Elapidae,8000,8,22.5,AnAge
Oxyuranus scutellatus,Reptilia,Squamata,Elapidae,8110.5,8.1105,15.6,AnAge
Pseudechis australis,Reptilia,Squamata,Elapidae,8144,8.144,11.1,AnAge
Eryx jaculus,Reptilia,Squamata,Erycidae,196,0.196,24.7,AnAge
Eryx tataricus,Reptilia,Squamata,Erycidae,196,0.196,24,AnAge
Coleonyx elegans,Reptilia,Squamata,Eublepharidae,11.2,0.0112,11,AnAge
Coleonyx variegatus,Reptilia,Squamata,Eublepharidae,4.56,0.00456,15.2,AnAge
Eublepharis macularius,Reptilia,Squamata,Eublepharidae,35.53,0.03553,28.5,AnAge
Hemitheconyx caudicinctus,Reptilia,Squamata,Eublepharidae,39.17,0.03917,16.2,AnAge
Chondrodactylus angulifer,Reptilia,Squamata,Gekkonidae,13.21,0.01321,10.8,AnAge
Chondrodactylus bibronii,Reptilia,Squamata,Gekkonidae,12.8,0.0128,6.1,AnAge
Christinus marmoratus,Reptilia,Squamata,Gekkonidae,3.405,0.003405,12.8,AnAge
Gehyra oceanica,Reptilia,Squamata,Gekkonidae,7.9,0.0079,10.5,AnAge
Gekko gecko,Reptilia,Squamata,Gekkonidae,54.13,0.05413,23.5,AnAge
Hemidactylus turcicus,Reptilia,Squamata,Gekkonidae,2.53,0.00253,8.4,AnAge
Heteronotia binoei,Reptilia,Squamata,Gekkonidae,2.18,0.00218,13.6,AnAge
Phelsuma astriata,Reptilia,Squamata,Gekkonidae,3.6,0.0036,7.4,AnAge
Phelsuma cepediana,Reptilia,Squamata,Gekkonidae,5,0.005,9.3,AnAge
Phelsuma laticauda,Reptilia,Squamata,Gekkonidae,2.9,0.0029,8.7,AnAge
Phelsuma lineata,Reptilia,Squamata,Gekkonidae,3.8,0.0038,10,AnAge
Phelsuma madagascariensis,Reptilia,Squamata,Gekkonidae,20.7,0.0207,13.6,AnAge
Phelsuma standingi,Reptilia,Squamata,Gekkonidae,214.5,0.2145,9.6,AnAge
Phelsuma sundbergi,Reptilia,Squamata,Gekkonidae,12.35,0.01235,15.9,AnAge
Heloderma horridum,Reptilia,Squamata,Helodermatidae,1244.15,1.24415,34.4,AnAge
Heloderma suspectum,Reptilia,Squamata,Helodermatidae,553.41,0.55341,28.9,AnAge
Erpeton tentaculatum,Reptilia,Squamata,Homalopsidae,131,0.131,13.6,AnAge
Amblyrhynchus cristatus,Reptilia,Squamata,Iguanidae,2227.43,2.22743,6.4,AnAge
Brachylophus fasciatus,Reptilia,Squamata,Iguanidae,170.175,0.170175,5.9,AnAge
Conolophus pallidus,Reptilia,Squamata,Iguanidae,4200,4.2,17.1,AnAge
Ctenosaura bakeri,Reptilia,Squamata,Iguanidae,399.4,0.3994,13.8,AnAge
Ctenosaura hemilopha,Reptilia,Squamata,Iguanidae,2800,2.8,9.6,AnAge
Ctenosaura pectinata,Reptilia,Squamata,Iguanidae,968,0.968,8.2,AnAge
Ctenosaura similis,Reptilia,Squamata,Iguanidae,1034,1.034,22.4,AnAge
Cyclura cornuta,Reptilia,Squamata,Iguanidae,16578.1,16.5781,22.9,AnAge
Cyclura cychlura,Reptilia,Squamata,Iguanidae,6754.63,6.75463,23.4,AnAge
Cyclura nubila,Reptilia,Squamata,Iguanidae,4100,4.1,47.6,AnAge
Dipsosaurus dorsalis,Reptilia,Squamata,Iguanidae,69.5,0.0695,14.6,AnAge
Iguana iguana,Reptilia,Squamata,Iguanidae,1530,1.53,19.8,AnAge
Sauromalus ater,Reptilia,Squamata,Iguanidae,230.39,0.23039,9.3,AnAge
Sauromalus hispidus,Reptilia,Squamata,Iguanidae,811.7,0.8117,17.2,AnAge
Sauromalus varius,Reptilia,Squamata,Iguanidae,1422.35,1.42235,11.3,AnAge
Sceloporus magister,Reptilia,Squamata,Iguanidae,35.21,0.03521,5.9,AnAge
Sceloporus poinsettii,Reptilia,Squamata,Iguanidae,30.94,0.03094,8,AnAge
Sceloporus serrifer,Reptilia,Squamata,Iguanidae,29.175,0.029175,6.7,AnAge
Gallotia galloti,Reptilia,Squamata,Lacertidae,27.49,0.02749,5.6,AnAge
Gallotia simonyi,Reptilia,Squamata,Lacertidae,195.995,0.195995,5.4,AnAge
Lacerta viridis,Reptilia,Squamata,Lacertidae,15.7,0.0157,10,AnAge
Podarcis muralis,Reptilia,Squamata,Lacertidae,5.41,0.00541,10,AnAge
Teira dugesii,Reptilia,Squamata,Lacertidae,7.29,0.00729,4.8,AnAge
Timon lepidus,Reptilia,Squamata,Lacertidae,99.625,0.099625,17,AnAge
Atractaspis bibronii,Reptilia,Squamata,Lamprophiidae,109,0.109,23.9,AnAge
Psammophis subtaeniatus,Reptilia,Squamata,Lamprophiidae,2381,2.381,5.8,AnAge
Rhamphiophis oxyrhynchus,Reptilia,Squamata,Lamprophiidae,1528,1.528,13.3,AnAge
Leiocephalus carinatus,Reptilia,Squamata,Leiocephalidae,30,0.03,10.8,AnAge
Oplurus cuvieri,Reptilia,Squamata,Opluridae,117.7,0.1177,21.2,AnAge
Oplurus cyclurus,Reptilia,Squamata,Opluridae,45.4,0.0454,9.3,AnAge
Uma notata,Reptilia,Squamata,Phrynosomatidae,22.49,0.02249,8.1,AnAge
Ptyodactylus hasselquistii,Reptilia,Squamata,Phyllodactylidae,9.3,0.0093,10.9,AnAge
Tarentola annularis,Reptilia,Squamata,Phyllodactylidae,16.605,0.016605,11.8,AnAge
Tarentola mauritanica,Reptilia,Squamata,Phyllodactylidae,6.54,0.00654,14,AnAge
Antaresia childreni,Reptilia,Squamata,Pythonidae,384,0.384,25.7,AnAge
Aspidites melanocephalus,Reptilia,Squamata,Pythonidae,6107,6.107,22.6,AnAge
Bothrochilus boa,Reptilia,Squamata,Pythonidae,2009,2.009,22.2,AnAge
Leiopython albertisii,Reptilia,Squamata,Pythonidae,8133.5,8.1335,18,AnAge
Liasis fuscus,Reptilia,Squamata,Pythonidae,10592,10.592,26.8,AnAge
Morelia spilota,Reptilia,Squamata,Pythonidae,15926,15.926,19.6,AnAge
Morelia viridis,Reptilia,Squamata,Pythonidae,3113,3.113,20.6,AnAge
Python curtus,Reptilia,Squamata,Pythonidae,8144,8.144,27.8,AnAge
Python molurus,Reptilia,Squamata,Pythonidae,12370,12.37,34.2,AnAge
Python regius,Reptilia,Squamata,Pythonidae,8858,8.858,47.5,AnAge
Python reticulatus,Reptilia,Squamata,Pythonidae,32000,32,29.4,AnAge
Python sebae,Reptilia,Squamata,Pythonidae,73000,73,27.3,AnAge
Chalcides ocellatus,Reptilia,Squamata,Scincidae,39.1,0.0391,14,AnAge
Corucia zebrata,Reptilia,Squamata,Scincidae,1013.7,1.0137,24.3,AnAge
Egernia cunninghami,Reptilia,Squamata,Scincidae,262.64,0.26264,26.5,AnAge
Egernia stokesii,Reptilia,Squamata,Scincidae,198.76,0.19876,18.2,AnAge
Eumeces algeriensis,Reptilia,Squamata,Scincidae,85.4,0.0854,22.8,AnAge
Eumeces obsoletus,Reptilia,Squamata,Scincidae,30,0.03,7.3,AnAge
Oligosoma otagense,Reptilia,Squamata,Scincidae,40.64,0.04064,44,AnAge
Tiliqua nigrolutea,Reptilia,Squamata,Scincidae,562.475,0.562475,11.5,AnAge
Tiliqua scincoides,Reptilia,Squamata,Scincidae,493,0.493,26.6,AnAge
Gonatodes albogularis,Reptilia,Squamata,Sphaerodactylidae,1.865,0.001865,5.6,AnAge
Teratoscincus scincus,Reptilia,Squamata,Sphaerodactylidae,16.235,0.016235,12.6,AnAge
Ameiva ameiva,Reptilia,Squamata,Teiidae,68,0.068,4.6,AnAge
Cnemidophorus sexlineatus,Reptilia,Squamata,Teiidae,7.9,0.0079,6,AnAge
Cnemidophorus tigris,Reptilia,Squamata,Teiidae,18,0.018,7.8,AnAge
Dracaena guianensis,Reptilia,Squamata,Teiidae,1500,1.5,9.3,AnAge
Tupinambis teguixin,Reptilia,Squamata,Teiidae,1773.51,1.77351,16.1,AnAge
Varanus bengalensis,Reptilia,Squamata,Varanidae,3750,3.75,11.2,AnAge
Varanus dumerilii,Reptilia,Squamata,Varanidae,988,0.988,10.7,AnAge
Varanus exanthematicus,Reptilia,Squamata,Varanidae,35500,35.5,12.7,AnAge
Varanus giganteus,Reptilia,Squamata,Varanidae,5333.4,5.3334,19.7,AnAge
Varanus gouldii,Reptilia,Squamata,Varanidae,671.92,0.67192,18.3,AnAge
Varanus griseus,Reptilia,Squamata,Varanidae,821.1,0.8211,17,AnAge
Varanus indicus,Reptilia,Squamata,Varanidae,1287,1.287,17.4,AnAge
Varanus komodoensis,Reptilia,Squamata,Varanidae,87000,87,62,AnAge
Varanus mertensi,Reptilia,Squamata,Varanidae,1121.2,1.1212,20.3,AnAge
Varanus niloticus,Reptilia,Squamata,Varanidae,2826.67,2.82667,14.6,AnAge
Varanus olivaceus,Reptilia,Squamata,Varanidae,4141.37,4.14137,15.2,AnAge
Varanus prasinus,Reptilia,Squamata,Varanidae,237.5,0.2375,14.2,AnAge
Varanus salvator,Reptilia,Squamata,Varanidae,4345,4.345,15.7,AnAge
Varanus timorensis,Reptilia,Squamata,Varanidae,290,0.29,14.9,AnAge
Varanus varius,Reptilia,Squamata,Varanidae,4300,4.3,14.7,AnAge
Agkistrodon contortrix,Reptilia,Squamata,Viperidae,950,0.95,29.8,AnAge
Agkistrodon piscivorus,Reptilia,Squamata,Viperidae,1700,1.7,24.5,AnAge
Bitis arietans,Reptilia,Squamata,Viperidae,2381,2.381,15.8,AnAge
Bitis gabonica,Reptilia,Squamata,Viperidae,2381,2.381,18,AnAge
Bitis nasicornis,Reptilia,Squamata,Viperidae,717,0.717,9.4,AnAge
Bothrops alternatus,Reptilia,Squamata,Viperidae,848,0.848,15.2,AnAge
Bothrops asper,Reptilia,Squamata,Viperidae,1037,1.037,20.4,AnAge
Bothrops atrox,Reptilia,Squamata,Viperidae,1037,1.037,8.5,AnAge
Bothrops neuwiedi,Reptilia,Squamata,Viperidae,131,0.131,15.1,AnAge
Causus rhombeatus,Reptilia,Squamata,Viperidae,308,0.308,6.6,AnAge
Crotalus adamanteus,Reptilia,Squamata,Viperidae,5675,5.675,22.8,AnAge
Crotalus atrox,Reptilia,Squamata,Viperidae,6700,6.7,27,AnAge
Crotalus cerastes,Reptilia,Squamata,Viperidae,211,0.211,27.3,AnAge
Crotalus durissus,Reptilia,Squamata,Viperidae,1150,1.15,19.8,AnAge
Crotalus horridus,Reptilia,Squamata,Viperidae,1000,1,30.2,AnAge
Crotalus lepidus,Reptilia,Squamata,Viperidae,219,0.219,33.6,AnAge
Crotalus molossus,Reptilia,Squamata,Viperidae,771,0.771,20.7,AnAge
Crotalus pricei,Reptilia,Squamata,Viperidae,104,0.104,15.7,AnAge
Crotalus ruber,Reptilia,Squamata,Viperidae,3661,3.661,19.2,AnAge
Crotalus scutulatus,Reptilia,Squamata,Viperidae,828,0.828,14.4,AnAge
Crotalus tigris,Reptilia,Squamata,Viperidae,279,0.279,15.3,AnAge
Crotalus viridis,Reptilia,Squamata,Viperidae,1647,1.647,24.1,AnAge
Crotalus willardi,Reptilia,Squamata,Viperidae,100,0.1,21.3,AnAge
Daboia russelii,Reptilia,Squamata,Viperidae,1306,1.306,15,AnAge
Echis carinatus,Reptilia,Squamata,Viperidae,142,0.142,23.8,AnAge
Lachesis muta,Reptilia,Squamata,Viperidae,5817,5.817,31.6,AnAge
Macrovipera lebetina,Reptilia,Squamata,Viperidae,1306,1.306,13.3,AnAge
Sistrurus catenatus,Reptilia,Squamata,Viperidae,384,0.384,20,AnAge
Sistrurus miliarius,Reptilia,Squamata,Viperidae,196,0.196,16.1,AnAge
Trimeresurus albolabris,Reptilia,Squamata,Viperidae,414.5,0.4145,11.4,AnAge
Vipera ammodytes,Reptilia,Squamata,Viperidae,220,0.22,22,AnAge
Vipera aspis,Reptilia,Squamata,Viperidae,161,0.161,25,AnAge
Vipera berus,Reptilia,Squamata,Viperidae,279,0.279,19,AnAge
Vipera latastei,Reptilia,Squamata,Viperidae,161,0.161,9.7,AnAge
Lepidophyma flavimaculatum,Reptilia,Squamata,Xantusiidae,11.3,0.0113,11,AnAge
Xantusia henshawi,Reptilia,Squamata,Xantusiidae,4.02,0.00402,14.3,AnAge
Xantusia riversiana,Reptilia,Squamata,Xantusiidae,14.66,0.01466,13.9,AnAge
Xantusia vigilis,Reptilia,Squamata,Xantusiidae,1.475,0.001475,10.9,AnAge
Xenopeltis unicolor,Reptilia,Squamata,Xenopeltidae,753,0.753,12.1,AnAge
Carettochelys insculpta,Reptilia,Testudines,Carettochelyidae,16275,16.275,38.4,AnAge
Chelodina longicollis,Reptilia,Testudines,Chelidae,1293,1.293,37,AnAge
Chelus fimbriatus,Reptilia,Testudines,Chelidae,4407,4.407,35.8,AnAge
Elseya dentata,Reptilia,Testudines,Chelidae,4295,4.295,21.8,AnAge
Emydura macquarii,Reptilia,Testudines,Chelidae,1740,1.74,20.9,AnAge
Mesoclemmys dahli,Reptilia,Testudines,Chelidae,777,0.777,27.4,AnAge
Myuchelys latisternum,Reptilia,Testudines,Chelidae,1377,1.377,26.5,AnAge
Phrynops hilarii,Reptilia,Testudines,Chelidae,2380,2.38,37.4,AnAge
Platemys platycephala,Reptilia,Testudines,Chelidae,325,0.325,20,AnAge
Caretta caretta,Reptilia,Testudines,Cheloniidae,156500,156.5,77,AnAge
Chelonia mydas,Reptilia,Testudines,Cheloniidae,160000,160,75,AnAge
Lepidochelys kempii,Reptilia,Testudines,Cheloniidae,40500,40.5,30.2,AnAge
Chelydra serpentina,Reptilia,Testudines,Chelydridae,10250,10.25,47,AnAge
Macrochelys temminckii,Reptilia,Testudines,Chelydridae,58500,58.5,70.3,AnAge
Dermatemys mawii,Reptilia,Testudines,Dermatemydidae,12500,12.5,11.3,AnAge
Dermochelys coriacea,Reptilia,Testudines,Dermochelyidae,420000,420,30,AnAge
Actinemys marmorata,Reptilia,Testudines,Emydidae,282,0.282,27.3,AnAge
Chrysemys picta,Reptilia,Testudines,Emydidae,400,0.4,61,AnAge
Clemmys guttata,Reptilia,Testudines,Emydidae,165.4,0.1654,51,AnAge
Deirochelys reticularia,Reptilia,Testudines,Emydidae,910.5,0.9105,24,AnAge
Emydoidea blandingii,Reptilia,Testudines,Emydidae,1162,1.162,77,AnAge
Glyptemys insculpta,Reptilia,Testudines,Emydidae,968.2,0.9682,60,AnAge
Glyptemys muhlenbergii,Reptilia,Testudines,Emydidae,132.1,0.1321,40,AnAge
Graptemys barbouri,Reptilia,Testudines,Emydidae,1256,1.256,31.7,AnAge
Graptemys nigrinoda,Reptilia,Testudines,Emydidae,415.7,0.4157,20.3,AnAge
Graptemys oculifera,Reptilia,Testudines,Emydidae,918.15,0.91815,20.3,AnAge
Graptemys pseudogeographica,Reptilia,Testudines,Emydidae,1477,1.477,35.4,AnAge
Graptemys pulchra,Reptilia,Testudines,Emydidae,1519,1.519,15.7,AnAge
Pseudemys concinna,Reptilia,Testudines,Emydidae,2992,2.992,44,AnAge
Pseudemys nelsoni,Reptilia,Testudines,Emydidae,3748.5,3.7485,26.1,AnAge
Terrapene carolina,Reptilia,Testudines,Emydidae,372,0.372,138,AnAge
Terrapene coahuila,Reptilia,Testudines,Emydidae,259.8,0.2598,18.8,AnAge
Terrapene nelsoni,Reptilia,Testudines,Emydidae,372,0.372,24.9,AnAge
Terrapene ornata,Reptilia,Testudines,Emydidae,394.5,0.3945,28.4,AnAge
Trachemys scripta,Reptilia,Testudines,Emydidae,240,0.24,41.3,AnAge
Batagur baska,Reptilia,Testudines,Geoemydidae,17900,17.9,21.7,AnAge
Cuora amboinensis,Reptilia,Testudines,Geoemydidae,1000,1,38.2,AnAge
Cuora flavomarginata,Reptilia,Testudines,Geoemydidae,499,0.499,19.1,AnAge
Cyclemys dentata,Reptilia,Testudines,Geoemydidae,1250,1.25,14.7,AnAge
Heosemys spinosa,Reptilia,Testudines,Geoemydidae,950,0.95,22.9,AnAge
Mauremys japonica,Reptilia,Testudines,Geoemydidae,494.2,0.4942,16.2,AnAge
Mauremys leprosa,Reptilia,Testudines,Geoemydidae,608,0.608,24.5,AnAge
Mauremys mutica,Reptilia,Testudines,Geoemydidae,319.5,0.3195,22.1,AnAge
Mauremys reevesii,Reptilia,Testudines,Geoemydidae,858,0.858,24.2,AnAge
Mauremys sinensis,Reptilia,Testudines,Geoemydidae,1241,1.241,22.8,AnAge
Melanochelys trijuga,Reptilia,Testudines,Geoemydidae,760,0.76,40,AnAge
Pangshura smithii,Reptilia,Testudines,Geoemydidae,919,0.919,13.8,AnAge
Rhinoclemmys areolata,Reptilia,Testudines,Geoemydidae,731.5,0.7315,19.3,AnAge
Siebenrockiella crassicollis,Reptilia,Testudines,Geoemydidae,940,0.94,16.7,AnAge
Claudius angustatus,Reptilia,Testudines,Kinosternidae,200,0.2,16.1,AnAge
Kinosternon baurii,Reptilia,Testudines,Kinosternidae,143,0.143,49.6,AnAge
Kinosternon herrerai,Reptilia,Testudines,Kinosternidae,486,0.486,19.5,AnAge
Kinosternon integrum,Reptilia,Testudines,Kinosternidae,474.4,0.4744,18.5,AnAge
Kinosternon scorpioides,Reptilia,Testudines,Kinosternidae,266,0.266,44.7,AnAge
Kinosternon sonoriense,Reptilia,Testudines,Kinosternidae,326,0.326,36.5,AnAge
Kinosternon subrubrum,Reptilia,Testudines,Kinosternidae,154.7,0.1547,40,AnAge
Staurotypus salvinii,Reptilia,Testudines,Kinosternidae,900,0.9,26.3,AnAge
Staurotypus triporcatus,Reptilia,Testudines,Kinosternidae,4200,4.2,33.5,AnAge
Sternotherus carinatus,Reptilia,Testudines,Kinosternidae,248,0.248,29.3,AnAge
Sternotherus minor,Reptilia,Testudines,Kinosternidae,154.5,0.1545,23.9,AnAge
Sternotherus odoratus,Reptilia,Testudines,Kinosternidae,137.9,0.1379,54.8,AnAge
Pelomedusa subrufa,Reptilia,Testudines,Pelomedusidae,2273,2.273,20.1,AnAge
Podocnemis expansa,Reptilia,Testudines,Podocnemididae,25800,25.8,25.3,AnAge
Aldabrachelys gigantea,Reptilia,Testudines,Testudinidae,117200,117.2,152,AnAge
Astrochelys radiata,Reptilia,Testudines,Testudinidae,10217,10.217,32.8,AnAge
Centrochelys sulcata,Reptilia,Testudines,Testudinidae,43000,43,54.3,AnAge
Geochelone elegans,Reptilia,Testudines,Testudinidae,4225,4.225,24.3,AnAge
Gopherus agassizii,Reptilia,Testudines,Testudinidae,2784,2.784,62.8,AnAge
Gopherus berlandieri,Reptilia,Testudines,Testudinidae,1792,1.792,30.7,AnAge
Homopus areolatus,Reptilia,Testudines,Testudinidae,229.4,0.2294,28.6,AnAge
Indotestudo forstenii,Reptilia,Testudines,Testudinidae,1680,1.68,32.9,AnAge
Kinixys belliana,Reptilia,Testudines,Testudinidae,1202,1.202,26.5,AnAge
Malacochersus tornieri,Reptilia,Testudines,Testudinidae,391.25,0.39125,25.9,AnAge
